,stu_ori,stu_now,update_iter
87,[0.22713220119476318],[0.22659990191459656],1
88,[0.21146708726882935],[0.21095459163188934],1
89,[0.1930074840784073],[0.19267143309116364],1
90,[0.19756895303726196],[0.1970926970243454],1
91,[0.21038402616977692],[0.20993857085704803],1
92,[0.19991029798984528],[0.19932545721530914],1
93,[0.23687319457530975],[0.23642157018184662],1
94,[0.19145610928535461],[0.1910182535648346],1
95,[0.20912262797355652],[0.2083510160446167],1
96,[0.20640607178211212],[0.20554453134536743],1
97,[0.17050869762897491],[0.16982318460941315],1
98,[0.18352071940898895],[0.18257871270179749],1
99,[0.20512287318706512],[0.20393577218055725],1
100,[0.21676181256771088],[0.21561098098754883],1
101,[0.20113107562065125],[0.20030418038368225],1
102,[0.2544189393520355],[0.2536887228488922],1
103,[0.17551299929618835],[0.1746460646390915],1
104,[0.20580531656742096],[0.20504805445671082],1
105,[0.19378699362277985],[0.19321611523628235],1
106,[0.1689440757036209],[0.16846725344657898],1
107,[0.15152764320373535],[0.15126579999923706],1
108,[0.20243693888187408],[0.20175866782665253],1
109,[0.1979673057794571],[0.197358176112175],1
110,[0.1909264475107193],[0.19046899676322937],1
111,[0.2184184193611145],[0.2182822823524475],1
112,[0.19831672310829163],[0.19794844090938568],1
113,[0.22513830661773682],[0.2247714400291443],1
114,[0.19513413310050964],[0.19474364817142487],1
115,[0.1930382251739502],[0.19275406002998352],1
116,[0.18939875066280365],[0.18897129595279694],1
117,[0.18799760937690735],[0.18732266128063202],1
118,[0.21008118987083435],[0.20948031544685364],1
119,[0.16747207939624786],[0.1669226437807083],1
120,[0.17611058056354523],[0.17564812302589417],1
121,[0.18562689423561096],[0.1852729618549347],1
122,[0.1929394155740738],[0.19257275760173798],1
123,[0.18383824825286865],[0.18352733552455902],1
124,[0.17965398728847504],[0.17937365174293518],1
125,[0.20711329579353333],[0.2064194232225418],1
126,[0.18295447528362274],[0.1828855723142624],1
127,[0.19275298714637756],[0.19256137311458588],1
128,[0.19811895489692688],[0.1980682760477066],1
129,[0.21471938490867615],[0.2145502269268036],1
130,[0.20476104319095612],[0.20465891063213348],1
131,[0.19625654816627502],[0.19608041644096375],1
132,[0.15773393213748932],[0.15745443105697632],1
133,[0.182321235537529],[0.18218626081943512],1
134,[0.17576904594898224],[0.17553000152111053],1
135,[0.1892043799161911],[0.18911798298358917],1
136,[0.19501231610774994],[0.1948864758014679],1
137,[0.1755414456129074],[0.17546457052230835],1
138,"[0.18571433424949646, 0.16846443712711334]","[0.1857888400554657, 0.16845513880252838]",2
139,"[0.21554066240787506, 0.18876956403255463]","[0.21578872203826904, 0.18867535889148712]",2
140,"[0.19457805156707764, 0.1937669813632965]","[0.19468724727630615, 0.1937262862920761]",2
141,[0.18611757457256317],[0.18601898849010468],1
142,[0.16265632212162018],[0.1624826341867447],1
143,"[0.21447204053401947, 0.22718413174152374]","[0.2144417017698288, 0.22693175077438354]",2
144,[0.19079293310642242],[0.1903746873140335],1
145,[0.1740352064371109],[0.17371870577335358],1
146,[0.1967206448316574],[0.1961926966905594],1
